Dev fold; Tune set; Parameters; Tune loss
2; 101; {'lr': 0.0009292857142857143, 'num_layers': 8, 'dropout': 0.3571428571428571, 'mask_prob': 0.25499999999999995, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 256}; 1.0538
2; 102; {'lr': 0.0004342857142857143, 'num_layers': 8, 'dropout': 0.46428571428571425, 'mask_prob': 0.5, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 128}; 0.0033
2; 103; {'lr': 0.0007171428571428572, 'num_layers': 2, 'dropout': 0.42857142857142855, 'mask_prob': 0.07999999999999999, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 512, 'inner_dim': 512}; 0.0844
2; 104; {'lr': 0.0008585714285714286, 'num_layers': 1, 'dropout': 0.42857142857142855, 'mask_prob': 0.185, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 2048}; 0.0004
2; 105; {'lr': 0.0003635714285714286, 'num_layers': 4, 'dropout': 0.3571428571428571, 'mask_prob': 0.045, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 512}; 0.0001
2; 106; {'lr': 1e-05, 'num_layers': 1, 'dropout': 0.10714285714285714, 'mask_prob': 0.39499999999999996, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 2, 'inner_dim': 14}; 0.0305
2; 107; {'lr': 0.0009292857142857143, 'num_layers': 8, 'dropout': 0.07142857142857142, 'mask_prob': 0.29, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 4, 'inner_dim': 64}; 0.0057
2; 108; {'lr': 0.0005757142857142857, 'num_layers': 8, 'dropout': 0.3214285714285714, 'mask_prob': 0.39499999999999996, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 256}; 0.0011
2; 109; {'lr': 0.001, 'num_layers': 4, 'dropout': 0.42857142857142855, 'mask_prob': 0.42999999999999994, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 64}; 0.0048
2; 110; {'lr': 0.0009292857142857143, 'num_layers': 8, 'dropout': 0.07142857142857142, 'mask_prob': 0.07999999999999999, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 256, 'inner_dim': 2048}; 0.9637
2; 111; {'lr': 0.00015142857142857145, 'num_layers': 1, 'dropout': 0.2857142857142857, 'mask_prob': 0.045, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 128, 'inner_dim': 1024}; 0.0007
2; 112; {'lr': 0.0005757142857142857, 'num_layers': 4, 'dropout': 0.07142857142857142, 'mask_prob': 0.11499999999999998, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 14, 'inner_dim': 28}; 0.0062
2; 113; {'lr': 0.0002928571428571429, 'num_layers': 8, 'dropout': 0.25, 'mask_prob': 0.29, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 128}; 0.0052
2; 114; {'lr': 0.00022214285714285717, 'num_layers': 4, 'dropout': 0.17857142857142855, 'mask_prob': 0.32499999999999996, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 2, 'inner_dim': 14}; 0.0107
2; 115; {'lr': 1e-05, 'num_layers': 4, 'dropout': 0.03571428571428571, 'mask_prob': 0.29, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 128}; 0.0066
2; 116; {'lr': 0.00015142857142857145, 'num_layers': 4, 'dropout': 0.3214285714285714, 'mask_prob': 0.045, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 256}; 0.0002
2; 117; {'lr': 0.0007878571428571429, 'num_layers': 1, 'dropout': 0.17857142857142855, 'mask_prob': 0.5, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 256}; 0.0036
2; 118; {'lr': 0.000505, 'num_layers': 4, 'dropout': 0.03571428571428571, 'mask_prob': 0.32499999999999996, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 1024}; 0.0001
2; 119; {'lr': 0.001, 'num_layers': 8, 'dropout': 0.5, 'mask_prob': 0.32499999999999996, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 256, 'inner_dim': 4096}; 0.9479
